ARO_ID	Gene_Name	AMR_Gene_Family	Drug_Class	Resistance_Mechanism
ARO:3005257	TEM-226	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000902	TEM-32	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000877	TEM-5	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001014	TEM-147	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000910	TEM-40	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3003157	TEM-219	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000899	TEM-29	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001029	TEM-163	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001373	TEM-182	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001024	TEM-158	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000996	TEM-132	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3007453	TEM-244	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3005270	TEM-240	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3005269	TEM-238	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3005268	TEM-237	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001044	TEM-181	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3005262	TEM-231	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001017	TEM-150	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001034	TEM-168	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000923	TEM-54	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001022	TEM-156	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000957	TEM-90	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001035	TEM-169	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000963	TEM-96	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000955	TEM-88	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001037	TEM-171	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000939	TEM-73	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000970	TEM-107	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001045	TEM-183	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000912	TEM-43	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000972	TEM-109	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3005273	TEM-243	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3005267	TEM-236	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001049	TEM-189	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001020	TEM-154	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000949	TEM-82	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000948	TEM-81	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001013	TEM-146	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001000	TEM-136	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001369	TEM-153	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000896	TEM-26	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000878	TEM-6	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001012	TEM-145	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000975	TEM-112	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000958	TEM-91	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000979	TEM-116	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3006140	TEM-99	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3007451	TEM-247	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3005256	TEM-225	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001389	TEM-212	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3005260	TEM-229	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000884	TEM-12	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000890	TEM-19	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000978	TEM-115	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000947	TEM-80	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001056	TEM-197	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000960	TEM-93	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001374	TEM-185	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000982	TEM-120	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000921	TEM-52	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000951	TEM-84	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001051	TEM-191	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000874	TEM-2	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001021	TEM-155	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000916	TEM-47	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3006139	TEM-98	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3005264	TEM-233	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000922	TEM-53	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001026	TEM-160	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001023	TEM-157	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000914	TEM-45	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000993	TEM-129	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000935	TEM-68	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001390	TEM-213	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001025	TEM-159	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000973	TEM-110	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000997	TEM-133	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000937	TEM-71	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000883	TEM-11	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000971	TEM-108	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000930	TEM-61	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3005271	TEM-241	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000909	TEM-39	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000894	TEM-24	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000974	TEM-111	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001050	TEM-190	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000875	TEM-3	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001003	TEM-139	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000891	TEM-20	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001001	TEM-137	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000950	TEM-83	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001048	TEM-188	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000888	TEM-17	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000934	TEM-67	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001002	TEM-138	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000944	TEM-78	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000887	TEM-16	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000986	TEM-124	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000881	TEM-9	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000876	TEM-4	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000880	TEM-8	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000917	TEM-48	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001375	TEM-184	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000994	TEM-130	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000952	TEM-85	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001016	TEM-149	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000977	TEM-114	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000998	TEM-134	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001019	TEM-152	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000931	TEM-63	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001005	TEM-142	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001018	TEM-151	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000959	TEM-92	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000938	TEM-72	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000995	TEM-131	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3005255	TEM-224	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3005258	TEM-227	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001033	TEM-167	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000953	TEM-86	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000961	TEM-94	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000964	TEM-101	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000918	TEM-49	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000976	TEM-113	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000892	TEM-21	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000893	TEM-22	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000983	TEM-121	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000954	TEM-87	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000965	TEM-102	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001047	TEM-187	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001388	TEM-211	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001042	TEM-177	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001382	TEM-205	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001028	TEM-162	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001058	TEM-199	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000987	TEM-125	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000985	TEM-123	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001055	TEM-195	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000929	TEM-60	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000911	TEM-42	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000928	TEM-59	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000956	TEM-89	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001053	TEM-193	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001054	TEM-194	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001043	TEM-178	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000981	TEM-118	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000879	TEM-7	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000941	TEM-75	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000980	TEM-117	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001052	TEM-192	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3003841	kdpE	kdpDE	aminoglycoside antibiotic	antibiotic efflux
ARO:3001328	Ecol_mdfA	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
ARO:3003950	msbA	ATP-binding cassette (ABC) antibiotic efflux pump	nitroimidazole antibiotic	antibiotic efflux
ARO:3001329	mdtG	major facilitator superfamily (MFS) antibiotic efflux pump	phosphonic acid antibiotic	antibiotic efflux
ARO:3001216	mdtH	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
ARO:3000676	H-NS	major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;cephamycin;fluoroquinolone antibiotic;macrolide antibiotic;penam;tetracycline antibiotic	antibiotic efflux
ARO:3000263	marA	General Bacterial Porin with reduced permeability to beta-lactams;resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;cephalosporin;cephamycin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;monobactam;penam;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux;reduced permeability to antibiotic
ARO:3003577	ugd	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
ARO:3000792	mdtA	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
ARO:3000793	mdtB	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
ARO:3000794	mdtC	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
ARO:3003952	YojI	ATP-binding cassette (ABC) antibiotic efflux pump	peptide antibiotic	antibiotic efflux
ARO:3003578	PmrF	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
ARO:3000254	emrY	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
ARO:3000254	emrY	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
ARO:3000206	emrK	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
ARO:3000832	evgA	major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;penam;tetracycline antibiotic	antibiotic efflux
ARO:3000833	evgS	major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;penam;tetracycline antibiotic	antibiotic efflux
ARO:3000491	acrD	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
ARO:3000516	emrR	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
ARO:3000027	emrA	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
ARO:3000074	emrB	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
ARO:3004597	Kpne_KpnH	major facilitator superfamily (MFS) antibiotic efflux pump	aminoglycoside antibiotic;carbapenem;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic;penam;penem;peptide antibiotic	antibiotic efflux
ARO:3000237	TolC	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;macrolide antibiotic;penam;penem;peptide antibiotic;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux
ARO:3002986	bacA	undecaprenyl pyrophosphate related proteins	peptide antibiotic	antibiotic target alteration
ARO:3000656	AcrS	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;cephamycin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux
ARO:3000499	AcrE	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;cephamycin;fluoroquinolone antibiotic;penam	antibiotic efflux
ARO:3000502	AcrF	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;cephamycin;fluoroquinolone antibiotic;penam	antibiotic efflux
ARO:3000518	CRP	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;penam	antibiotic efflux
ARO:3000795	mdtE	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;penam	antibiotic efflux
ARO:3000796	mdtF	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;penam	antibiotic efflux
ARO:3003838	gadW	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;penam	antibiotic efflux
